format,name
legacy,Crusade
legacy,Demonic Tutor
legacy,Mind Twist
legacy,Mana Vault
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Sol Ring
legacy,Time Vault
legacy,Wheel of Fortune
legacy,Channel
legacy,Mana Vault
legacy,Sol Ring
legacy,Crusade
legacy,Tempest Efreet
legacy,Bronze Tablet
legacy,Balance
legacy,Mana Vault
legacy,Goblin Recruiter
legacy,Stone-Throwing Devils
legacy,Stone-Throwing Devils
legacy,Bazaar of Baghdad
legacy,Library of Alexandria
legacy,Goblin Recruiter
legacy,Mishra's Workshop
legacy,Strip Mine
legacy,Strip Mine
legacy,Strip Mine
legacy,Strip Mine
legacy,Windfall
legacy,Oath of Druids
legacy,Sol Ring
legacy,Ancestral Recall
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Mind Twist
legacy,Wheel of Fortune
legacy,Channel
legacy,Black Lotus
legacy,Chaos Orb
legacy,Balance
legacy,Crusade
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Mind Twist
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Black Lotus
legacy,Chaos Orb
legacy,Mana Vault
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Sol Ring
legacy,Time Vault
legacy,Windfall
legacy,Mana Drain
legacy,Vampiric Tutor
legacy,Crusade
legacy,Demonic Tutor
legacy,"Oko, Thief of Crowns"
legacy,Vampiric Tutor
legacy,Deathrite Shaman
legacy,Mana Crypt
legacy,Sensei's Divining Top
legacy,Gitaxian Probe
legacy,Balance
legacy,Crusade
legacy,Wheel of Fortune
legacy,Mana Crypt
legacy,Deathrite Shaman
legacy,Demonic Consultation
legacy,"Zirda, the Dawnwaker"
legacy,Balance
legacy,Ancestral Recall
legacy,Time Walk
legacy,Timetwister
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Black Lotus
legacy,Chaos Orb
legacy,Mana Crypt
legacy,Mana Crypt
legacy,Fastbond
