school,doc
Mountain Oaks,00
Castle Rock,00
Charter Community School Home Study Academy,00
Clovis Online Charter,54
Washington Elementary,52
West Park Charter Academy,52
Mattole Valley Charter (#159),54
YouthBuild Charter School of California,00
The Education Corps,00
College Bridge Academy,00
Kern Workforce 2000 Academy,56
Kings River-Hardwick Elementary,52
Soledad Enrichment Action Charter High,00
Chatsworth Charter High,54
Grover Cleveland Charter High,54
Sylmar Charter High,54
Taft Charter High,54
Calahan Community Charter,54
Carpenter Community Charter,54
YES Academy,54
Pomelo Community Charter,54
Serrania Avenue Charter For Enriched Studies,54
Westwood Charter Elementary,54
Wilbur Charter For Enriched Academics,54
Marlton,54
School of Extended Educational Options,54
Madera County Independent Academy,00
Pioneer Technical Center,00
Monterey County Home Charter,00
Forest Charter,00
Union Hill Elementary,52
Come Back Kids,00
George Washington Charter,54
Elk Grove Charter,54
Visions In Education,54
San Juan Choices Charter,54
Natomas Charter,54
Riverside Preparatory,52
Delta Home Charter,52
Delta Charter Online,52
Delta Charter,52
Stockton High,54
Grizzly ChalleNGe Charter,00
Arundel Elementary,52
Fammatre Elementary,52
Castlemont Elementary,52
Lynhaven Elementary,52
Rosemary Elementary,52
Pacific Coast Charter,54
Fairmont Charter Elementary,54
Gateway to College Academy,56
Stanislaus Alternative Charter,00
Denair Charter Academy,54
Summit Charter Academy,52
Visalia Charter Independent Study,54
Butterfield Charter High,54
Yuba County Career Preparatory Charter,00
