account_id,a2,a3
66,Rychnov nad Kneznou,east Bohemia
273,Karlovy Vary,west Bohemia
485,Kutna Hora,central Bohemia
539,Rakovnik,central Bohemia
1050,Hodonin,south Moravia
1286,Zdar nad Sazavou,south Moravia
1527,Tachov,west Bohemia
1539,Hl.m. Praha,Prague
1965,Hodonin,south Moravia
2137,Kladno,central Bohemia
2464,Decin,north Bohemia
2705,Vyskov,south Moravia
3837,Rychnov nad Kneznou,east Bohemia
4013,Opava,north Moravia
5228,Vsetin,north Moravia
5256,Olomouc,north Moravia
7123,Zlin,south Moravia
7774,Ostrava - mesto,north Moravia
8073,Karlovy Vary,west Bohemia
8212,Usti nad Orlici,east Bohemia
10227,Uherske Hradiste,south Moravia
