superhero_name,height_cm,heightrank
Ymir,30480.0,1
Surtur,30480.0,1
Bloodwraith,3050.0,3
Utgard-Loki,1520.0,4
Fin Fang Foom,975.0,5
Galactus,876.0,6
Groot,701.0,7
MODOK,366.0,8
Wolfsbane,366.0,8
Sasquatch,305.0,10
Onslaught,305.0,10
Juggernaut,287.0,12
Hulk,244.0,13
Venom III,229.0,14
Anti-Venom,229.0,14
Bi-Beast,229.0,14
Colossus,226.0,17
Venompool,226.0,17
Cloak,226.0,17
Warpath,218.0,20
Thundra,218.0,20
Bloodaxe,218.0,20
Apocalypse,213.0,23
Hela,213.0,23
Man-Thing,213.0,23
Red Hulk,213.0,23
Frenzy,211.0,27
Omega Red,211.0,27
Ant-Man,211.0,27
Scorpion,211.0,27
Ultron,206.0,31
Odin,206.0,31
Cable,203.0,33
A-Bomb,203.0,33
Lizard,203.0,33
Abomination,203.0,33
Doctor Doom II,201.0,37
Thanos (Infinity Gauntlet),201.0,37
Thanos,201.0,37
She-Hulk,201.0,37
Beta Ray Bill,201.0,37
Kingpin,201.0,37
Century,201.0,37
Doctor Doom,201.0,37
Bishop,198.0,45
Skaar,198.0,45
Battlestar,198.0,45
Thor,198.0,45
Mephisto,198.0,45
Thunderstrike,198.0,45
Luke Cage,198.0,45
Living Brain,198.0,45
Iron Man,198.0,45
Captain Britain,198.0,45
Gladiator,198.0,45
Doc Samson,198.0,45
Sabretooth,198.0,45
Fabian Cortez,196.0,58
Molten Man,196.0,58
Swarm,196.0,58
Mister Sinister,196.0,58
Rhino,196.0,58
Doppelganger,196.0,58
Wyatt Wingfoot,196.0,58
Hercules,196.0,58
Absorbing Man,193.0,66
Diamondback,193.0,66
Maverick,193.0,66
Firelord,193.0,66
Loki,193.0,66
Ardina,193.0,66
Drax the Destroyer,193.0,66
Box III,193.0,66
Ajax,193.0,66
Deathlok,193.0,66
Silver Surfer,193.0,66
Scarlet Spider II,193.0,66
Hawkeye,191.0,78
Cyclops,191.0,78
Blackout,191.0,78
Venom,191.0,78
Kang,191.0,78
Shatterstar,191.0,78
Toxin,191.0,78
Razor-Fist II,191.0,78
Agent Zero,191.0,78
Ronin,191.0,78
Kraven II,191.0,78
Valkyrie,191.0,78
Vision,191.0,78
Evilhawk,191.0,78
Vision II,191.0,78
Corsair,191.0,78
3-D Man,188.0,94
Air-Walker,188.0,94
Ammo,188.0,94
Black Bolt,188.0,94
Blackwulf,188.0,94
Blade,188.0,94
Captain America,188.0,94
Captain Mar-vell,188.0,94
Deadpool,188.0,94
Destroyer,188.0,94
Doctor Strange,188.0,94
Evil Deadpool,188.0,94
Falcon,188.0,94
Franklin Storm,188.0,94
Ghost Rider,188.0,94
Hydro-Man,188.0,94
Jigsaw,188.0,94
Klaw,188.0,94
Longshot,188.0,94
Magneto,188.0,94
Man-Wolf,188.0,94
Mandarin,188.0,94
Mimic,188.0,94
Moon Knight,188.0,94
Morlun,188.0,94
Mr Immortal,188.0,94
Namor,188.0,94
Red Skull,188.0,94
Sentry,188.0,94
Sif,188.0,94
Star-Lord,188.0,94
Taskmaster,188.0,94
Triton,188.0,94
Warlock,188.0,94
Wonder Man,188.0,94
Yellow Claw,188.0,94
Sandman,185.0,130
Genesis,185.0,130
Nova,185.0,130
Nick Fury,185.0,130
Demogoblin,185.0,130
Nebula,185.0,130
War Machine,185.0,130
Hellstorm,185.0,130
Darkhawk,185.0,130
Shadow King,185.0,130
Dormammu,185.0,130
Carnage,185.0,130
Blackwing,185.0,130
Mister Fantastic,185.0,130
Thunderbird,185.0,130
Tiger Shark,185.0,130
Ares,185.0,130
Gambit,185.0,130
Plantman,183.0,148
Professor X,183.0,148
Punisher,183.0,148
Quicksilver,183.0,148
Forge,183.0,148
Gamora,183.0,148
Walrus,183.0,148
Copycat,183.0,148
Cottonmouth,183.0,148
Goliath IV,183.0,148
Green Goblin III,183.0,148
Cannonball,183.0,148
Daredevil,183.0,148
Havok,183.0,148
Bullseye,183.0,148
Exodus,183.0,148
Ant-Man II,183.0,148
Brother Voodoo,183.0,148
Hyperion,183.0,148
Archangel,183.0,148
John Wraith,183.0,148
Atlas,183.0,148
Yellowjacket,183.0,148
Atlas,183.0,148
Kraven the Hunter,183.0,148
Thing,183.0,148
Azazel,183.0,148
Angel,183.0,148
Banshee,183.0,148
Machine Man,183.0,148
Magus,183.0,148
Spyke,183.0,148
She-Thing,183.0,148
Black Panther,183.0,148
Black Knight III,183.0,148
Penance II,183.0,148
Ink,180.0,184
Iron Fist,180.0,184
Namora,180.0,184
Changeling,180.0,184
Warbird,180.0,184
Frigga,180.0,184
Northstar,180.0,184
Aurora,180.0,184
Purple Man,180.0,184
Synch,180.0,184
Psylocke,180.0,184
Mach-IV,180.0,184
Ripcord,180.0,184
Storm,180.0,184
Binary,180.0,184
Electro,180.0,184
Medusa,180.0,184
Beast,180.0,184
Vulture,180.0,184
Moonstone,180.0,184
Green Goblin,180.0,184
Crimson Dynamo,180.0,184
Hobgoblin,180.0,184
Multiple Man,180.0,184
Annihilus,180.0,184
Mysterio,180.0,184
Captain Marvel,180.0,184
Black Cat,178.0,211
Green Goblin IV,178.0,211
Tigra,178.0,211
Morph,178.0,211
Pyro,178.0,211
Scarlet Spider,178.0,211
Shang-Chi,178.0,211
Spider-Woman IV,178.0,211
Mystique,178.0,211
Gravity,178.0,211
Justice,178.0,211
Human Torch,178.0,211
Green Goblin II,178.0,211
Spider-Woman,178.0,211
Blob,178.0,211
Spider-Man,178.0,211
Agent Bob,178.0,211
Snowbird,178.0,211
Emma Frost,178.0,211
Leader,178.0,211
White Queen,178.0,211
X-Man,175.0,232
Blizzard II,175.0,232
Callisto,175.0,232
Cypher,175.0,232
Hybrid,175.0,232
Venom II,175.0,232
Beak,175.0,232
Shocker,175.0,232
Mockingbird,175.0,232
Feral,175.0,232
Chamber,175.0,232
Winter Soldier,175.0,232
Arachne,175.0,232
Toad,175.0,232
Elektra,175.0,232
Thunderbird III,175.0,232
Doctor Octopus,175.0,232
Thor Girl,175.0,232
Nightcrawler,175.0,232
Lady Deathstrike,175.0,232
Moses Magnum,175.0,232
Legion,175.0,232
Spider-Woman III,173.0,254
Firestar,173.0,254
Hellcat,173.0,254
Ms Marvel II,173.0,254
Arclight,173.0,254
Rogue,173.0,254
Sunspot,173.0,254
Shriek,173.0,254
Cat,173.0,254
Domino,173.0,254
Agent 13,173.0,254
Iceman,173.0,254
Dazzler,173.0,254
Cecilia Reyes,170.0,267
Hollow,170.0,267
Husk,170.0,267
Jessica Jones,170.0,267
Marvel Girl,170.0,267
Black Widow II,170.0,267
Molecule Man,170.0,267
Black Widow,170.0,267
Black Mamba,170.0,267
Polaris,170.0,267
Sage,170.0,267
Scarlet Witch,170.0,267
Spider-Girl,170.0,267
Hope Summers,168.0,280
Bling!,168.0,280
Jennifer Kale,168.0,280
Invisible Woman,168.0,280
Mantis,168.0,280
Ultragirl,168.0,280
Jean Grey,168.0,280
Vertigo II,168.0,280
Shadowcat,168.0,280
Vagabond,168.0,280
Goblin Queen,168.0,280
Crystal,168.0,280
Siryn,168.0,280
Darkstar,168.0,280
Phoenix,168.0,280
Namorita,168.0,280
Songbird,165.0,296
Meltdown,165.0,296
Hawkeye II,165.0,296
Yellowjacket II,165.0,296
Angel Dust,165.0,296
Spider-Gwen,165.0,296
Boom-Boom,165.0,296
Vanisher,165.0,296
Blink,165.0,296
Jubilee,165.0,296
Jolt,165.0,296
Bantam,165.0,296
Ariel,165.0,296
Firebird,165.0,296
Big Man,165.0,296
Vindicator,165.0,296
Dagger,165.0,296
Wasp,163.0,313
Quake,163.0,313
Tempest,163.0,313
Armor,163.0,313
Tinkerer,163.0,313
Angel Salvadore,163.0,313
Quill,163.0,313
Wolverine,160.0,320
Silverclaw,157.0,321
Jack of Hearts,155.0,322
X-23,155.0,322
Franklin Richards,142.0,324
Wiz Kid,140.0,325
Rocket Raccoon,122.0,326
Howard the Duck,79.0,327
Bloodhawk,0.0,328
Proto-Goblin,0.0,328
Power Man,0.0,328
Vulcan,0.0,328
Bird-Brain,0.0,328
Scorpia,0.0,328
Sebastian Shaw,0.0,328
One-Above-All,0.0,328
Negasonic Teenage Warhead,0.0,328
Beyonder,0.0,328
Beetle,0.0,328
Mister Knife,0.0,328
Silk,0.0,328
Spider-Carnage,0.0,328
Weapon XI,0.0,328
Watcher,0.0,328
Stardust,0.0,328
Lyja,0.0,328
Luna,0.0,328
Blizzard,0.0,328
Living Tribunal,0.0,328
Leech,0.0,328
Lady Bullseye,0.0,328
Junkpile,0.0,328
Abraxas,0.0,328
Iron Monger,0.0,328
Box IV,0.0,328
Crimson Crusader,0.0,328
Guardian,0.0,328
Giant-Man,0.0,328
Ghost Rider II,0.0,328
Clea,0.0,328
Captain Planet,0.0,328
Chameleon,0.0,328
Captain Universe,0.0,328
Fixer,0.0,328
Cerebra,0.0,328
Ego,0.0,328
Fallen One II,0.0,328
Blaquesmith,,367
Meteorite,,367
Wondra,,367
Giant-Man II,,367
Penance,,367
Cat II,,367
Penance I,,367
Box,,367
Black Abbott,,367
Thunderbird II,,367
Bird-Man,,367
Boomer,,367
Bolt,,367
Stacy X,,367
Bumbleboy,,367
Spider-Woman II,,367
Bird-Man II,,367
Speedball,,367
Snake-Eyes,,367
Black Goliath,,367
Goliath,,367
