driverid,code
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
35,VIL
35,VIL
14,COU
35,VIL
14,COU
35,VIL
14,COU
35,VIL
14,COU
14,COU
35,VIL
35,VIL
14,COU
14,COU
35,VIL
14,COU
35,VIL
37,DLR
14,COU
35,VIL
14,COU
35,VIL
37,DLR
37,DLR
14,COU
37,DLR
14,COU
14,COU
37,DLR
37,DLR
14,COU
37,DLR
14,COU
37,DLR
14,COU
14,COU
35,VIL
37,DLR
14,COU
35,VIL
35,VIL
14,COU
14,COU
35,VIL
35,VIL
14,COU
14,COU
35,VIL
14,COU
35,VIL
35,VIL
14,COU
14,COU
35,VIL
14,COU
35,VIL
35,VIL
14,COU
35,VIL
35,VIL
14,COU
35,VIL
14,COU
35,VIL
14,COU
35,VIL
14,COU
35,VIL
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
14,COU
35,VIL
35,VIL
14,COU
35,VIL
14,COU
69,BAD
69,BAD
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
37,DLR
