client_id,age
9,90
41,57
79,56
326,58
548,88
562,50
694,89
886,77
928,74
1067,73
1089,86
1133,67
1179,95
1220,72
1246,63
1289,79
1388,63
1452,85
1453,59
1536,58
1579,62
1629,59
1668,76
1707,74
1718,87
1777,62
1799,66
1811,86
1812,78
1842,82
1876,74
1930,91
2058,54
2122,55
2125,50
2156,59
2265,48
2320,74
2388,54
2445,56
2489,50
2688,58
2715,68
2815,95
2820,59
2911,93
2951,75
2958,50
2977,62
3075,84
3128,81
3134,87
3136,62
3236,65
3253,79
3292,85
3378,68
3414,78
3448,71
3465,83
3581,58
3601,87
3667,54
3753,66
3824,54
3944,89
4100,70
4405,66
4522,75
4553,80
4559,67
4701,84
4862,82
5128,62
5253,79
5978,81
7127,68
7286,55
7683,79
9641,80
9717,73
10912,62
11331,81
12079,53
12810,61
12843,72
12943,55
13095,75
