account_id,frequency
14,POPLATEK MESICNE
76,POPLATEK MESICNE
80,POPLATEK MESICNE
84,POPLATEK PO OBRATU
103,POPLATEK MESICNE
131,POPLATEK MESICNE
149,POPLATEK MESICNE
171,POPLATEK MESICNE
174,POPLATEK MESICNE
182,POPLATEK MESICNE
194,POPLATEK MESICNE
210,POPLATEK MESICNE
232,POPLATEK MESICNE
253,POPLATEK MESICNE
283,POPLATEK MESICNE
292,POPLATEK MESICNE
296,POPLATEK MESICNE
311,POPLATEK MESICNE
315,POPLATEK MESICNE
319,POPLATEK TYDNE
320,POPLATEK MESICNE
323,POPLATEK MESICNE
330,POPLATEK MESICNE
338,POPLATEK MESICNE
339,POPLATEK TYDNE
350,POPLATEK MESICNE
351,POPLATEK MESICNE
390,POPLATEK MESICNE
393,POPLATEK MESICNE
410,POPLATEK MESICNE
463,POPLATEK MESICNE
464,POPLATEK MESICNE
468,POPLATEK MESICNE
471,POPLATEK MESICNE
490,POPLATEK MESICNE
491,POPLATEK MESICNE
507,POPLATEK MESICNE
590,POPLATEK MESICNE
593,POPLATEK MESICNE
600,POPLATEK MESICNE
602,POPLATEK MESICNE
611,POPLATEK MESICNE
621,POPLATEK MESICNE
637,POPLATEK MESICNE
646,POPLATEK MESICNE
674,POPLATEK MESICNE
684,POPLATEK MESICNE
706,POPLATEK MESICNE
733,POPLATEK TYDNE
745,POPLATEK MESICNE
758,POPLATEK MESICNE
782,POPLATEK MESICNE
791,POPLATEK MESICNE
810,POPLATEK MESICNE
826,POPLATEK MESICNE
831,POPLATEK MESICNE
832,POPLATEK MESICNE
836,POPLATEK MESICNE
858,POPLATEK MESICNE
878,POPLATEK MESICNE
889,POPLATEK MESICNE
894,POPLATEK MESICNE
937,POPLATEK MESICNE
972,POPLATEK MESICNE
996,POPLATEK MESICNE
1002,POPLATEK MESICNE
1021,POPLATEK MESICNE
1058,POPLATEK MESICNE
1061,POPLATEK MESICNE
1068,POPLATEK MESICNE
1083,POPLATEK MESICNE
1085,POPLATEK MESICNE
1112,POPLATEK MESICNE
1140,POPLATEK MESICNE
1155,POPLATEK MESICNE
1165,POPLATEK MESICNE
1190,POPLATEK MESICNE
1195,POPLATEK MESICNE
1199,POPLATEK MESICNE
1211,POPLATEK MESICNE
1221,POPLATEK MESICNE
1229,POPLATEK MESICNE
1232,POPLATEK MESICNE
1261,POPLATEK MESICNE
1265,POPLATEK MESICNE
1267,POPLATEK MESICNE
1296,POPLATEK MESICNE
1313,POPLATEK MESICNE
1316,POPLATEK MESICNE
1323,POPLATEK MESICNE
1324,POPLATEK MESICNE
1326,POPLATEK MESICNE
1340,POPLATEK MESICNE
1361,POPLATEK MESICNE
1365,POPLATEK MESICNE
1370,POPLATEK MESICNE
1379,POPLATEK MESICNE
1396,POPLATEK MESICNE
1399,POPLATEK MESICNE
1437,POPLATEK MESICNE
1452,POPLATEK MESICNE
1454,POPLATEK MESICNE
1491,POPLATEK MESICNE
1500,POPLATEK MESICNE
1501,POPLATEK MESICNE
1506,POPLATEK MESICNE
1520,POPLATEK MESICNE
1522,POPLATEK MESICNE
1523,POPLATEK PO OBRATU
1526,POPLATEK MESICNE
1528,POPLATEK MESICNE
1548,POPLATEK MESICNE
1563,POPLATEK MESICNE
1564,POPLATEK MESICNE
1585,POPLATEK MESICNE
1633,POPLATEK MESICNE
1641,POPLATEK MESICNE
1645,POPLATEK MESICNE
1656,POPLATEK MESICNE
1659,POPLATEK MESICNE
1682,POPLATEK MESICNE
1691,POPLATEK MESICNE
1696,POPLATEK MESICNE
1712,POPLATEK MESICNE
1716,POPLATEK MESICNE
1724,POPLATEK MESICNE
1732,POPLATEK MESICNE
1735,POPLATEK MESICNE
1754,POPLATEK MESICNE
1785,POPLATEK MESICNE
1798,POPLATEK MESICNE
1800,POPLATEK MESICNE
1810,POPLATEK MESICNE
1836,POPLATEK MESICNE
