charternum,avgscrwrite,writingscorerank
0210,630,1
0890,593,2
0290,582,3
0352,581,4
0930,579,5
1169,576,6
1114,562,7
1079,558,8
0120,555,9
0747,554,10
0612,551,11
0759,548,12
1071,547,13
0572,543,14
0658,542,15
0271,540,16
0284,539,17
1070,538,18
0844,537,19
1398,535,20
0180,535,20
0248,533,22
0056,533,22
0050,531,24
0084,530,25
0419,529,26
0147,528,27
0005,527,28
0588,526,29
0037,525,30
0883,524,31
1580,524,31
0019,524,31
0340,523,34
0835,522,35
0838,521,36
0169,520,37
1083,519,38
0267,517,39
0493,517,39
1314,514,41
0765,514,41
0109,513,43
0664,512,44
0756,511,45
1571,509,46
1427,508,47
0537,508,47
0579,506,49
0512,506,49
0728,505,51
0127,505,51
0477,504,53
0730,503,54
0565,503,54
1208,502,56
0332,502,56
1400,501,58
