school,avgscrwrite,phone
FAME Public Charter,505.0,
Envision Academy for Arts & Technology,395.0,(510) 596-8901
Aspire California College Preparatory Academy,,
Community School for Creative Education,,(510) 686-4131
Yu Ming Charter,,(510) 452-2063
Urban Montessori Charter,,(510) 842-1181
"Technical, Agricultural & Nat.",,
Berkeley Trade & Tech. College,,
Oakland Unity Middle,,(510) 969-5302
Canyon Valley Adult School,,
Roosevelt High (Defunct),,
University High School (Defunc,,
Washington Evening High (Defun,,
Chabot Ranch,,
Juvenile Court Schools,,
Las Vistas School,,
Senior Camp,,
Snedigar Cottage,,
Koster/Whiteford Special Center,,
Whiteford School (TMR),,
Alameda County Special Education,,
Buena Vista School (Girls),,
Whiteford (June) School,,
School for School-Age Mothers,,
Sequoia Deaf/Blind Program,,
Burke (William P.) Special Center,,
East County Dch,,
La Fleche (Rock) Special Center,,
Motta (Ronald) Special Center,,
New Village Community Public Charter East Bay,,
"David W. Gordon,Govt. Affairs",,
College Preparatory & Architecture Academy,,
Alameda Science and Technology Institute,555.0,(510) 748-4021
Ruby Bridges Elementary,,(510) 748-4006
Nea Community Learning Center,,(510) 748-4008
The Academy of Alameda,,(510) 748-4017
Maya Lin,,(510) 337-7027
Encinal Junior Jets,,
Alameda City Unified Alternative Educ.,,
Alameda Community Learning Center,581.0,(510) 995-4300
Alternatives in Action,343.0,(510) 748-4314
The Academy of Alameda Elementary,,(510) 748-4017
Encinal Junior/Senior High,,(510) 748-4023
Franklin Elementary,,(510) 748-4004
Mastick Elementary,,
Porter Elementary,,
Grand Alternative,,
Bay Farm,,(510) 748-4010
Albany Children's Center,,
Albany Adult,,
Albany Primary,,
MacGregor Primary,,
Ocean View Elementary,,(510) 558-4800
Amador Valley Adult Education,,
Amador Valley Adult Education,,
Foothill High,,
Village High,,
Pleasanton Unified Alternative,,
Amador Valley High,,
Dublin High,,
Valley High,,
REALM Charter Middle,,(510) 809-9800
REALM Charter High,386.0,(510) 809-9800
Berkeley Special Education Preschool,,(510) 644-6120
"West Campus, Berkeley High",,
King Educational Center,,
Home Teaching,,
Pregnant Minors Program,,
Rosa Parks Environmental Science Magnet,,(510) 644-8812
Cragmont Elementary,,(510) 644-8810
Tilden Primary,,
Hillside Primary,,
Grizzly Peak Primary,,
Muir Model School,,
Whittier Primary,,
Kilimanjaro,,
Berkeley Alternative Jr. High,,
Franklin Parent Nursery,,
Longfellow Parent Nursery,,
UC Child Study Parent Nursery,,
Redwood Alternative High,,
Alma Preschool,,(510) 537-3000
Redwood Adult Center,,
Castro Valley Evening High Sch,,
Castro Valley Virtual Academy,,(510) 537-3193
A. B. Morris Intermediate,,
Clifton Elementary,,
Creekside Middle,,(510) 247-0665
Parsons Elementary,,
Redwood Elementary,,
Redwood Primary,,
Sydney Elementary,,
Jensen Ranch Elementary,,(510) 537-6365
Emeryville Preschool Students,,(510) 601-4000
Ralph Hawley Elementary,,
Emery Middle,,
Young Adult Program,,(510) 659-2542
Glankler Early Learning Center,,(510) 659-2542
Circle of Independent Learning,,(510) 797-0100
Williamson High,,
Alviso Elementary,,
Noll (Conrad) Elementary,,
David Reynolds Elementary,,
Marshall (Earl) Elementary,,
Hacienda Elementary,,
Linda Vista Elementary,,
Origin L. Mowry Elementary,,
Timothy Rix Elementary,,
Robertson (Gus C.) Junior High,,
Olivos de Guadalupe,,
Glankler (Donald G.) (Oh),,
Fremont Elementary,,
Irvington Elementary,,
Forest Park Elementary,,(510) 713-0141
Linda Vista Elementary,,
The Fremont Progressive Charter,,
Leadership Public Schools - Hayward,443.0,(510) 300-1340
Stonebrae Elementary,,(510) 723-3910
Impact Academy of Arts & Technology,444.0,(510) 300-1560
Golden Oak Montessori of Hayward,,(510) 931-7868
Special Education-Preschool-Laurel,,(510) 293-8599
Knowledge Enlightens You (KEY) Academy,,(510) 543-4124
Silver Oak High Public Montessori Charter,,(510) 370-3334
Hayward Unified Alternative Education,,
Highland,,(510) 723-3845
Strobridge High,,
Sunset High,,
Baywood Elementary,,
Bidwell Elementary,,
Eureka Elementary,,
Gansberger Elem.,,
Hillcrest Elementary,,
Kimball Elem.,,
Laurel Elementary,,
Mohrland Elem.,,
Peixoto Elem,,
Sequoia Elementary,,
Sorensen Elementary,,
Tennyson Elementary (Sed),,
Winton Grove Elementary,,
Tyrrell Junior High,,
Helen Turner Children's Center,,
Chabot Children's Center,,
Peixoto Childrens Center,,
Argonaut Elementary,,
Brenkwitz Elementary,,
Park Children's Center,,
Strobridge Elementary,,
Faith Ringgold School of Arts and Science,,(510) 889-7399
Livermore Valley Charter,,(925) 443-1690
Livermore Valley Charter Preparatory High,,(925) 456-9000
Phoenix High (Continuation),,
Almond Avenue Elementary,,
Alphonso Ladd Elem (TMR),,
Fifth Street Elementary,,
Green Elementary,,
Rincon Avenue Elementary,,
Sonoma Drive Elementary,,
Maitland R. Henry Elementary,,
Arroyo Mocho Elementary,,
Altamont Creek Elementary,,(925) 454-5575
Donlon Elementary,,
Dublin Elementary,,
Fallon Elementary,,
Frederiksen Elementary,,
Cronin Elementary,,
Lydiksen Elementary,,
Murray Elementary,,
Nielsen Elementary,,
Wells Intermediate,,
Crossroads High (Alternative),,(510) 818-3720
Progressive Academy,,
Newark Junior High,,
Muller (F. A.) Elementary,,
MacGregor (John I.) Intermedia,,
Ruschin (Louis) Elementary,,
Silva (M. D.) Intermediate,,
Whiteford (June) Spec. Ed. Preschool,,
Newark Opportunity,,
Newark Independent Study,,
New Beginnings Academy,,
Core Learning Academy at Conley-Caraballo High,,(510) 471-5126
Alternative Learning Academy at Conley-Caraballo High,,(510) 471-5126
New Haven Community Day,,
Decoto School for Independent Study,,(510) 489-2185
New Haven Continuation High Sc,,
Decoto Elementary,,
El Rancho Verde Elementary,,
Manuel White Elem.,,
Tom Kitayama Elementary,,(510) 475-3982
Guy Jr. Emanuele Elementary,,(510) 471-2461
Delaine Eastin Elementary,,(510) 475-9630
Oakland Unity High,399.0,(510) 635-7170
East Oakland Leadership Academy,,(510) 562-5238
ACORN Woodland Elementary,,
MetWest High,385.0,(510) 451-5902
The San Antonio Multicultural,,
Think College Now,,(510) 532-5500
Mandela High,,
Media College Preparatory,,
Robeson School of Visual and Performing Arts,,
"YES, Youth Empowerment",,
College Preparatory and Architecture Academy,,
LPS College Park,,
Business and Information Technology High,,
East Oakland School of the Arts,,
East Oakland Community High,,
EnCompass Academy Elementary,,(510) 639-3350
Youth Employment Partnership Charter,,
Community Day High,,(510) 531-6800
Community Day Middle,,(510) 531-6800
Bay Area Technology,390.0,(510) 382-9932
Oasis High,,
Explore Middle,,
Leadership Preparatory High,,
Aspire Millsmont Academy,,
California College Preparatory Academy,,
Lighthouse Community Charter High,447.0,(510) 562-8225
Aspire Berkley Maynard Academy,,(510) 658-2900
World Academy,,
Kizmet Academy Middle,,
"Business, Entrepreneurial School of Technology High",,
McClymonds High,353.0,(510) 238-8607
Reach Academy,,(510) 729-7775
Manzanita SEED Elementary,,(510) 535-2832
Sankofa Academy,,(510) 654-7787
Rise Community,,(510) 729-7732
Far West,,
Achieve Academy,,(510) 904-6440
Oakland Aviation High,,
American Indian Public High,514.0,(510) 893-8701
Junior Space Exploration Academy,,
Space Exploration Academy,,
Peralta Creek Middle,,
United for Success Academy,,(510) 535-3880
