subtypes,supertypes
"Human,Rebel",Legendary
"Avatar,Minion",Legendary
Wizard,Legendary
Karn,Legendary
Angel,Legendary
"Cat,Cleric",Legendary
"Human,Wizard",Legendary
Jace,Legendary
Zombie,Legendary
Goblin,Legendary
Kraken,Legendary
"Angel,Horror",Legendary
Human,Legendary
Artificer,Legendary
"Spirit,Cleric",Legendary
"Human,Wizard",Legendary
Sphinx,Legendary
Vampire,Legendary
Golem,Legendary
Equipment,Legendary
"Dwarf,Advisor",Legendary
"Aetherborn,Vampire",Legendary
"Elf,Druid",Legendary
Ajani,Legendary
Tezzeret,Legendary
Gideon,Legendary
God,Legendary
God,Legendary
"Human,Cleric",Legendary
"Minotaur,Warrior",Legendary
Liliana,Legendary
Ajani,Legendary
"Zombie,Warrior",Legendary
Sphinx,Legendary
Phelddagrif,Legendary
"Elf,Druid",Legendary
Beast,Legendary
Angel,Legendary
Tamiyo,Legendary
Angel,Legendary
Angel,Legendary
Angel,Legendary
"Vampire,Ally",Legendary
"Cat,Soldier",Legendary
Spirit,Legendary
Spirit,Legendary
"Human,Ninja",Legendary
"Rat,Ninja",Legendary
"Human,Samurai",Legendary
"Human,Monk",Legendary
Spirit,Legendary
Spirit,Legendary
"Human,Soldier",Legendary
Human,Legendary
"Vampire,Wizard",Legendary
"Elemental,Beast",Legendary
"Elf,Shaman",Legendary
"Zombie,Wizard",Legendary
"Giant,Soldier",Legendary
Mountain,Basic
Dragon,Legendary
"Rhino,Soldier",Legendary
"Cat,Warrior",Legendary
Nahiri,Legendary
"Human,Wizard",Legendary
Teferi,Legendary
Daretti,Legendary
"Human,Artificer",Legendary
Forest,Basic
Freyalise,Legendary
"Cat,Cleric",Legendary
Octopus,Legendary
"Merfolk,Wizard",Legendary
"Zombie,Elf",Legendary
"Weird,Wizard",Legendary
"Merfolk,Wizard",Legendary
"Kor,Soldier,Ally",Legendary
"Angel,Horror",Legendary
Human,Legendary
"Human,Ally",Legendary
"Naga,Wizard",Legendary
"Bird,Monk",Legendary
"Human,Barbarian",Legendary
"Ogre,Warrior",Legendary
"Goblin,Artificer",Legendary
"Elf,Rogue",Legendary
"Fungus,Shaman",Legendary
"Human,Rogue",Legendary
"Human,Artificer",Legendary
"Minotaur,Monk",Legendary
"Cat,Warrior",Legendary
"Cat,Artificer",Legendary
"Dragon,Spirit",Legendary
"Human,Monk",Legendary
"Human,Wizard",Legendary
"Dragon,Avatar",Legendary
"Cat,Dragon",Legendary
Equipment,Legendary
Wizard,Legendary
"Human,Wizard",Legendary
Dragon,Legendary
"Zombie,Dragon",Legendary
Dragon,Legendary
Dragon,Legendary
"Human,Wizard",Legendary
"Human,Knight",Legendary
Angel,Snow
"Horror,Minion",Legendary
"Human,Warrior",Legendary
"Troll,Shaman",Legendary
"Naga,Wizard",Legendary
"Cat,Warrior",Legendary
Wall,Legendary
Vampire,Legendary
"Human,Wizard",Legendary
"Minotaur,Warrior",Legendary
Shapeshifter,Legendary
"Elder,Dinosaur",Legendary
Zombie,Legendary
"Human,Artificer",Legendary
Dryad,Legendary
Vraska,Legendary
"Human,Soldier",Legendary
"Elemental,Dinosaur",Legendary
"Nightmare,Insect",Legendary
"Human,Assassin",Legendary
"Nightmare,Beast",Legendary
"Elemental,Dog",Legendary
"Shark,Bird",Legendary
"Cat,Nightmare",Legendary
"Nightmare,Beast",Legendary
Angel,Legendary
"Elder,Dinosaur",Legendary
"Human,Warrior",Legendary
"Human,Knight",Legendary
Ajani,Legendary
"Elf,Druid",Legendary
"Goblin,Shaman",Legendary
"Faerie,Wizard",Legendary
Dog,Legendary
"Human,Samurai",Legendary
"Human,Wizard",Legendary
Spirit,Legendary
"Moonfolk,Wizard",Legendary
Spirit,Legendary
"Human,Barbarian",Legendary
Shrine,Legendary
