year,avg
1950,9712.01842857143
1951,10870.343222222222
1952,11061.26325
1953,10828.015666666666
1954,11212.563444444446
1955,10791.868714285714
1956,10871.124888888888
1957,11322.675666666668
1958,8379.745
1959,8745.455555555554
1960,8771.807
1961,8258.129125
1962,8410.781555555555
1963,8280.7054
1964,8005.108600000001
1965,8165.3046
1966,7834.341444444445
1967,7645.46409090909
1968,7626.180083333333
1969,7006.474909090909
1970,6520.316
1971,6111.651454545455
1972,6526.003249999999
1973,6235.945266666666
1974,6046.8204
